,pool_id,infinite_overlap,created,image_left,image_right,golden,task_id,overlap,submitted,expired,public_comment,accepted,solution,id,task_suite_id,user_id,status,reward,mixed,automerged,owner__id,owner__myself,alg_left,alg_right,algs,task,chosen_alg,by_inconsistency_blocked_user,honeypotted,by_honeypot_blocked_user
11,4609092,False,2019-04-17T17:10:20.915,highlightdisk/screenshot_emails/tf_idf_custom/letter3.png,highlightdisk/screenshot_emails/random_good/letter3.png,,0000465444--5cb756cf139fff0131310fc0,34,2019-04-17T17:11:17.057,,,2019-04-17T17:11:17.057,left,0000465444--5cb75dfc372196014c7438e6,0000465444--5cb75dfc372196014c7438e4,12f8604591162246734bd4dbb806f4cd,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_custom,random_good,random_good__tf_idf_custom,letter3.png,tf_idf_custom,False,False,False
12,4609092,True,2019-04-17T17:10:20.915,highlightdisk/screenshot_emails/random/letter1.png,highlightdisk/screenshot_emails/gensim_sentences/letter1.png,right,0000465444--5cb756cf139fff0131310fd2,,2019-04-17T17:11:17.057,,,2019-04-17T17:11:17.057,right,0000465444--5cb75dfc372196014c7438e6,0000465444--5cb75dfc372196014c7438e4,12f8604591162246734bd4dbb806f4cd,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random,gensim_sentences,gensim_sentences__random,letter1.png,gensim_sentences,False,False,False
13,4609092,False,2019-04-17T17:10:20.915,highlightdisk/screenshot_emails/tf_idf_custom/letter17.png,highlightdisk/screenshot_emails/random_good/letter17.png,,0000465444--5cb756cf139fff0131310fb6,34,2019-04-17T17:11:17.057,,,2019-04-17T17:11:17.057,left,0000465444--5cb75dfc372196014c7438e6,0000465444--5cb75dfc372196014c7438e4,12f8604591162246734bd4dbb806f4cd,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_custom,random_good,random_good__tf_idf_custom,letter17.png,tf_idf_custom,False,False,False
14,4609092,False,2019-04-17T17:10:20.915,highlightdisk/screenshot_emails/tf_idf_custom/letter4.png,highlightdisk/screenshot_emails/random_good/letter4.png,,0000465444--5cb756cf139fff0131310fc2,34,2019-04-17T17:11:17.057,,,2019-04-17T17:11:17.057,left,0000465444--5cb75dfc372196014c7438e6,0000465444--5cb75dfc372196014c7438e4,12f8604591162246734bd4dbb806f4cd,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_custom,random_good,random_good__tf_idf_custom,letter4.png,tf_idf_custom,False,False,False
15,4609092,False,2019-04-17T17:10:21.147,highlightdisk/screenshot_emails/tf_idf_custom/letter3.png,highlightdisk/screenshot_emails/random_good/letter3.png,,0000465444--5cb756cf139fff0131310fc0,34,,2019-04-17T17:10:34.854,,,,0000465444--5cb75dfd73ccd1010218ccdc,0000465444--5cb75dfd73ccd1010218ccda,d0a785ffa751c89cf8b013291933362b,EXPIRED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_custom,random_good,random_good__tf_idf_custom,letter3.png,,False,False,False
16,4609092,False,2019-04-17T17:10:21.147,highlightdisk/screenshot_emails/random_good/letter6.png,highlightdisk/screenshot_emails/tf_idf_custom/letter6.png,,0000465444--5cb756cf139fff0131310fc5,34,,2019-04-17T17:10:34.854,,,,0000465444--5cb75dfd73ccd1010218ccdc,0000465444--5cb75dfd73ccd1010218ccda,d0a785ffa751c89cf8b013291933362b,EXPIRED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random_good,tf_idf_custom,random_good__tf_idf_custom,letter6.png,,False,False,False
17,4609092,True,2019-04-17T17:10:21.147,highlightdisk/screenshot_emails/random/letter1.png,highlightdisk/screenshot_emails/gensim_sentences/letter1.png,right,0000465444--5cb756cf139fff0131310fd2,,,2019-04-17T17:10:34.854,,,,0000465444--5cb75dfd73ccd1010218ccdc,0000465444--5cb75dfd73ccd1010218ccda,d0a785ffa751c89cf8b013291933362b,EXPIRED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,random,gensim_sentences,gensim_sentences__random,letter1.png,,False,False,False
18,4609092,False,2019-04-17T17:10:21.147,highlightdisk/screenshot_emails/tf_idf_custom/letter4.png,highlightdisk/screenshot_emails/random_good/letter4.png,,0000465444--5cb756cf139fff0131310fc2,34,,2019-04-17T17:10:34.854,,,,0000465444--5cb75dfd73ccd1010218ccdc,0000465444--5cb75dfd73ccd1010218ccda,d0a785ffa751c89cf8b013291933362b,EXPIRED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_custom,random_good,random_good__tf_idf_custom,letter4.png,,False,False,False
19,4609092,False,2019-04-17T17:10:21.147,highlightdisk/screenshot_emails/tf_idf_custom/letter17.png,highlightdisk/screenshot_emails/random_good/letter17.png,,0000465444--5cb756cf139fff0131310fb6,34,,2019-04-17T17:10:34.854,,,,0000465444--5cb75dfd73ccd1010218ccdc,0000465444--5cb75dfd73ccd1010218ccda,d0a785ffa751c89cf8b013291933362b,EXPIRED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_custom,random_good,random_good__tf_idf_custom,letter17.png,,False,False,False
20,4609092,False,2019-04-17T17:10:25.164,highlightdisk/screenshot_emails/tf_idf_custom/letter4.png,highlightdisk/screenshot_emails/random_good/letter4.png,,0000465444--5cb756cf139fff0131310fc2,34,2019-04-17T17:10:47.444,,,2019-04-17T17:10:47.444,right,0000465444--5cb75e010fb0e1014b17f0a7,0000465444--5cb75e010fb0e1014b17f0a5,6e3995ed55965dae51da796986d02b28,ACCEPTED,0.01,True,False,83f1ebe16d794ebcccf82b376c12b2c3,True,tf_idf_custom,random_good,random_good__tf_idf_custom,letter4.png,random_good,False,False,False
